[Fri Aug 22 16:59:42 2025] Event: created, Path: hr_files\HR_myduyen_ly~66389.tmp
[Fri Aug 22 16:59:42 2025] Event: modified, Path: hr_files\HR_myduyen_ly~66389.tmp
[Fri Aug 22 16:59:42 2025] Event: modified, Path: hr_files\HR_myduyen_ly~66389.tmp
[Fri Aug 22 16:59:42 2025] Event: modified, Path: hr_files\HR_myduyen_ly~66389.tmp
[Fri Aug 22 16:59:42 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 16:59:42 2025] Event: moved, Path: hr_files\HR_myduyen_ly~66389.tmp
[Fri Aug 22 16:59:42 2025] Event: modified, Path: hr_files\HR_myduyen_ly~166399.tmp
[Fri Aug 22 16:59:42 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~166399.tmp
[Fri Aug 22 17:00:04 2025] Event: created, Path: hr_files\HR_myduyen_ly~6B9A8.tmp
[Fri Aug 22 17:00:04 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6B9A8.tmp
[Fri Aug 22 17:00:04 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6B9A8.tmp
[Fri Aug 22 17:00:04 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6B9A8.tmp
[Fri Aug 22 17:00:04 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 17:00:04 2025] Event: moved, Path: hr_files\HR_myduyen_ly~6B9A8.tmp
[Fri Aug 22 17:00:04 2025] Event: modified, Path: hr_files\HR_myduyen_ly~16B9C7.tmp
[Fri Aug 22 17:00:04 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~16B9C7.tmp
[Fri Aug 22 17:00:06 2025] Event: created, Path: hr_files\HR_myduyen_ly~6C428.tmp
[Fri Aug 22 17:00:06 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C428.tmp
[Fri Aug 22 17:00:06 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C428.tmp
[Fri Aug 22 17:00:06 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C428.tmp
[Fri Aug 22 17:00:06 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 17:00:06 2025] Event: moved, Path: hr_files\HR_myduyen_ly~6C428.tmp
[Fri Aug 22 17:00:06 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~16C437.tmp
[Fri Aug 22 17:00:07 2025] Event: created, Path: hr_files\HR_myduyen_ly~6C4D3.tmp
[Fri Aug 22 17:00:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C4D3.tmp
[Fri Aug 22 17:00:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C4D3.tmp
[Fri Aug 22 17:00:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C4D3.tmp
[Fri Aug 22 17:00:07 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 17:00:07 2025] Event: moved, Path: hr_files\HR_myduyen_ly~6C4D3.tmp
[Fri Aug 22 17:00:07 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~16C4F3.tmp
[Fri Aug 22 17:00:07 2025] Event: created, Path: hr_files\HR_myduyen_ly~6C5AE.tmp
[Fri Aug 22 17:00:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C5AE.tmp
[Fri Aug 22 17:00:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C5AE.tmp
[Fri Aug 22 17:00:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C5AE.tmp
[Fri Aug 22 17:00:07 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 17:00:07 2025] Event: moved, Path: hr_files\HR_myduyen_ly~6C5AE.tmp
[Fri Aug 22 17:00:07 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~16C5BE.tmp
[Fri Aug 22 17:00:07 2025] Event: created, Path: hr_files\HR_myduyen_ly~6C66A.tmp
[Fri Aug 22 17:00:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C66A.tmp
[Fri Aug 22 17:00:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C66A.tmp
[Fri Aug 22 17:00:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6C66A.tmp
[Fri Aug 22 17:00:07 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 17:00:07 2025] Event: moved, Path: hr_files\HR_myduyen_ly~6C66A.tmp
[Fri Aug 22 17:00:07 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~16C679.tmp
[Fri Aug 22 17:00:09 2025] Event: created, Path: hr_files\HR_myduyen_ly~6CDCC.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CDCC.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CDCC.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CDCC.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CDCC.tmp
[Fri Aug 22 17:00:09 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 17:00:09 2025] Event: moved, Path: hr_files\HR_myduyen_ly~6CDCC.tmp
[Fri Aug 22 17:00:09 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~16CDEC.tmp
[Fri Aug 22 17:00:09 2025] Event: created, Path: hr_files\HR_myduyen_ly~6CEB7.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CEB7.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CEB7.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CEB7.tmp
[Fri Aug 22 17:00:09 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 17:00:09 2025] Event: moved, Path: hr_files\HR_myduyen_ly~6CEB7.tmp
[Fri Aug 22 17:00:09 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~16CEC6.tmp
[Fri Aug 22 17:00:09 2025] Event: created, Path: hr_files\HR_myduyen_ly~6CF53.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CF53.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CF53.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6CF53.tmp
[Fri Aug 22 17:00:09 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 17:00:09 2025] Event: moved, Path: hr_files\HR_myduyen_ly~6CF53.tmp
[Fri Aug 22 17:00:09 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~16CF63.tmp
[Fri Aug 22 17:00:09 2025] Event: created, Path: hr_files\HR_myduyen_ly~6D04D.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6D04D.tmp
[Fri Aug 22 17:00:09 2025] Event: modified, Path: hr_files\HR_myduyen_ly~6D04D.tmp
